repository,task_type,page_type,entry_page_extension,entry_page_path_depth,entry_page_bytes,entry_page_lines,entry_page_heading_count,entry_page_link_count,entry_page_toctree_count,optional_mean_recall_at_3,optional_mean_ndcg_at_3,optional_mean_returned_set_f1,required_mean_recall_at_3,required_mean_ndcg_at_3,required_mean_returned_set_f1,required_minus_optional_recall_at_3,required_minus_optional_ndcg_at_3,required_minus_optional_returned_set_f1,required_mean_wiki_tokens,required_mean_wiki_bytes,required_mean_wiki_read_count,required_mean_unique_wiki_pages,required_mean_beyond_entry_reads,required_mean_page_1_tokens,required_mean_page_2_tokens,required_mean_page_3_tokens,required_mean_first_page_share,required_mean_unique_targeted_source_files,required_mean_non_gold_files_before_gold_or_end,required_mean_gold_seen_any,required_mean_gold_seen_by_3_source_actions,required_mean_gold_targeted_any,required_mean_prediction_seen_fraction,optional_mean_elapsed_seconds,required_mean_elapsed_seconds,required_minus_optional_elapsed_seconds,optional_mean_agent_step_count,required_mean_agent_step_count,required_minus_optional_agent_step_count,optional_mean_source_action_count,required_mean_source_action_count,required_minus_optional_source_action_count,required_minus_optional_provider_total_tokens
sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,835,32,1,1,2,0.5,0.5,0.3,0.75,0.75,0.5,0.25,0.25,0.2,221.0,835.0,1.0,1.0,0.0,221.0,0.0,0.0,1.0,8.125,4.875,0.75,0.375,0.75,1.0,64.337,81.16325,16.82625,6.75,10.0,3.25,6.625,9.0,2.375,40422.375
sympy/sympy,EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,1848,63,7,7,1,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,441.375,2060.75,1.125,1.125,0.125,378.0,63.375,0.0,0.9283898305084746,2.875,1.0,1.0,0.875,1.0,1.0,29.737,53.08275,23.34575,4.0,6.625,2.625,4.0,5.5,1.5,16638.125
django/django,EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12344,347,17,5,0,1.0,1.0,0.6458333333333333,1.0,1.0,0.6666666666666666,0.0,0.0,0.0208333333333333,2424.0,9665.0,1.125,1.125,0.125,2241.125,182.875,0.0,0.949074074074074,4.25,1.5,1.0,1.0,1.0,1.0,34.358875,39.484875,5.126000000000005,3.75,5.375,1.625,3.625,4.25,0.625,19698.125
sympy/sympy,EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,820,31,1,1,2,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,406.5,1429.5,1.125,1.25,0.125,223.0,183.5,0.0,0.8914843287995269,3.375,1.125,1.0,1.0,0.875,1.0,37.773875,38.0525,0.2786250000000052,5.125,5.0,-0.125,5.125,3.875,-1.25,-26026.0
django/django,NO_EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12417,347,17,5,0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,2142.0,8469.0,1.0,1.0,0.0,2142.0,0.0,0.0,1.0,3.125,1.125,1.0,0.875,1.0,1.0,35.511875,31.74825,-3.7636250000000047,5.0,5.125,0.125,4.875,4.125,-0.75,-391.5
django/django,EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12351,346,17,5,0,1.0,1.0,0.6458333333333333,1.0,1.0,0.625,0.0,0.0,-0.0208333333333332,2195.25,8806.0,1.125,1.25,0.25,1859.375,335.875,0.0,0.7836240681278193,6.75,1.375,1.0,0.875,1.0,1.0,117.864875,97.892375,-19.972499999999997,9.75,9.25,-0.5,9.75,8.0,-1.75,-7406.875
ansible/ansible,NO_EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,4,3697,94,2,0,9,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.4875,0.0,0.0,-0.0125,824.0,3697.0,1.0,1.0,0.0,824.0,0.0,0.0,1.0,4.375,1.375,1.0,1.0,1.0,0.9583333333333334,47.885125,52.221625,4.336500000000001,6.375,8.0,1.625,6.375,7.0,0.625,16337.25
sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,815,32,1,1,2,0.875,0.875,0.6666666666666666,1.0,1.0,0.7916666666666666,0.125,0.125,0.125,219.0,815.0,1.0,1.0,0.0,219.0,0.0,0.0,1.0,2.0,1.5,1.0,1.0,0.25,1.0,19.501,28.22875,8.727749999999997,2.625,3.625,1.0,2.625,2.625,0.0,6571.625
django/django,NO_EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12351,346,17,5,0,1.0,1.0,0.6458333333333333,1.0,1.0,0.6666666666666666,0.0,0.0,0.0208333333333333,2125.0,8404.0,1.0,1.0,0.0,2125.0,0.0,0.0,1.0,4.75,1.0,1.0,0.875,1.0,1.0,59.991125,65.66775,5.676624999999994,6.75,8.625,1.875,6.75,7.625,0.875,21896.625
sphinx-doc/sphinx,EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,2,494,39,2,6,1,1.0,1.0,0.5625,1.0,1.0,0.625,0.0,0.0,0.0625,139.0,494.0,1.0,1.0,0.0,139.0,0.0,0.0,1.0,5.625,1.0,1.0,1.0,1.0,1.0,69.132625,79.072625,9.939999999999998,7.0,9.875,2.875,6.75,8.625,1.875,26908.5
django/django,EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12351,346,17,5,0,1.0,1.0,0.6458333333333333,1.0,1.0,0.6458333333333333,0.0,0.0,0.0,2125.0,8404.0,1.0,1.0,0.0,2125.0,0.0,0.0,1.0,6.875,1.75,1.0,0.625,1.0,1.0,52.3775,110.351875,57.97437500000001,6.25,8.625,2.375,6.25,7.625,1.375,40939.875
django/django,NO_EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12500,350,17,5,0,0.875,0.875,0.35,1.0,1.0,0.4125,0.125,0.125,0.0625,2597.5,10104.5,1.375,1.75,0.375,2128.0,335.875,133.625,0.8853144650893465,7.375,1.375,1.0,1.0,1.0,0.96875,47.564125,61.136,13.571875000000006,5.25,7.0,1.75,5.0,5.625,0.625,32300.5
ansible/ansible,EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,4,4566,99,2,0,7,0.6666666666666666,0.7346393630113782,0.5925595238095238,0.5833333333333333,0.652938566775601,0.6437499999999999,-0.0833333333333333,-0.0817007962357772,0.0511904761904761,996.0,4566.0,1.0,1.0,0.0,996.0,0.0,0.0,1.0,8.875,1.0,1.0,0.875,1.0,1.0,69.242375,84.9085,15.666125000000008,8.25,10.625,2.375,8.25,9.625,1.375,30532.625
sphinx-doc/sphinx,EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,2,476,38,2,6,1,0.5625,0.6514688923132995,0.5,0.6875,0.7281122914089818,0.5791666666666667,0.125,0.0766433990956823,0.0791666666666667,372.25,1380.25,1.125,1.25,0.125,135.0,237.25,0.0,0.8833005410723069,9.75,1.25,1.0,1.0,1.0,1.0,93.67625,104.4355,10.759250000000009,10.0,11.25,1.25,9.75,9.875,0.125,-3100.375
ansible/ansible,NO_EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,4,4128,105,2,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.0,4128.0,1.0,1.0,0.0,940.0,0.0,0.0,1.0,7.125,1.125,1.0,0.625,1.0,0.9375,60.309125,79.872,19.562875,7.125,9.875,2.75,6.875,8.625,1.75,43578.75
huggingface/transformers,NO_EXPLICIT_LOCATOR_CLUE,large_reference_catalog,.rst,3,48220,644,6,0,7,0.75,0.75,0.4458333333333333,1.0,1.0,0.5916666666666667,0.25,0.25,0.1458333333333333,5189.5,18952.5,1.0,1.0,0.0,5189.5,0.0,0.0,1.0,5.75,2.875,1.0,0.625,1.0,1.0,59.879875,71.3,11.420125,4.625,7.75,3.125,4.625,6.75,2.125,59576.5
matplotlib/matplotlib,NO_EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,2,2455,104,9,4,0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,669.5,2843.5,1.125,1.25,0.125,558.0,111.5,0.0,0.923103448275862,5.875,2.25,1.0,0.875,1.0,1.0,66.936125,70.333,3.3968749999999943,7.75,9.75,2.0,7.625,8.5,0.875,-18641.625
django/django,EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12351,346,17,5,0,1.0,1.0,0.6333333333333333,1.0,1.0,0.6666666666666666,0.0,0.0,0.0333333333333333,2125.0,8404.0,1.0,1.0,0.0,2125.0,0.0,0.0,1.0,6.625,1.5,1.0,1.0,1.0,1.0,42.65675,54.093875,11.437124999999996,5.25,6.875,1.625,5.25,5.875,0.625,55337.75
huggingface/transformers,NO_EXPLICIT_LOCATOR_CLUE,large_reference_catalog,.md,4,41855,342,4,285,0,0.75,0.5952324383928644,0.425,0.75,0.5490986575892965,0.4041666666666667,0.0,-0.0461337808035678,-0.0208333333333333,6407.75,30113.375,1.125,1.0,0.0,6042.0,365.75,0.0,0.9592161016949152,7.0,1.5,1.0,0.875,1.0,1.0,72.13875,100.158625,28.019875,5.5,9.5,4.0,5.375,8.375,3.0,137869.375
django/django,NO_EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12351,346,17,5,0,1.0,1.0,0.6458333333333333,1.0,1.0,0.5833333333333333,0.0,0.0,-0.0625,2125.0,8404.0,1.0,1.0,0.0,2125.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,85.55775,82.599375,-2.958375000000004,8.875,11.75,2.875,8.875,10.75,1.875,2425.625
huggingface/transformers,EXPLICIT_LOCATOR_CLUE,large_reference_catalog,.md,4,38379,316,4,259,0,1.0,1.0,0.6041666666666666,1.0,1.0,0.5416666666666666,0.0,0.0,-0.0625,5953.25,28109.0,1.0,1.0,0.0,5953.25,0.0,0.0,1.0,5.625,1.0,1.0,1.0,1.0,1.0,47.926125,60.07925,12.153125000000005,5.25,7.75,2.5,5.25,6.75,1.5,77159.5
sphinx-doc/sphinx,NO_EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,2,494,39,2,6,1,0.4583333333333333,0.4057212739772434,0.3616071428571428,0.375,0.3610307166121994,0.2946428571428571,-0.0833333333333333,-0.044690557365044,-0.0669642857142857,139.0,494.0,1.0,1.0,0.0,139.0,0.0,0.0,1.0,9.75,1.125,1.0,1.0,1.0,1.0,137.5085,157.179125,19.670625,10.875,15.0,4.125,10.5,13.875,3.375,25581.375
sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,835,32,1,1,2,0.375,0.375,0.2083333333333333,0.5,0.5,0.2708333333333333,0.125,0.125,0.0625,221.0,835.0,1.0,1.0,0.0,221.0,0.0,0.0,1.0,15.5,14.375,0.5,0.0,0.5,1.0,187.271875,283.61725,96.34537500000002,19.125,24.0,4.875,19.125,22.75,3.625,197433.875
sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,835,32,1,1,2,1.0,1.0,0.6124999999999999,1.0,1.0,0.6666666666666666,0.0,0.0,0.0541666666666666,221.0,835.0,1.0,1.0,0.0,221.0,0.0,0.0,1.0,6.25,1.5,1.0,0.875,1.0,1.0,55.672125,65.386125,9.714000000000006,6.625,8.0,1.375,6.625,7.0,0.375,16365.375
django/django,EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12351,346,17,5,0,1.0,1.0,0.7083333333333333,1.0,1.0,0.6458333333333333,0.0,0.0,-0.0625,2102.0,8316.0,1.0,1.0,0.0,2102.0,0.0,0.0,1.0,3.875,1.5,1.0,1.0,0.875,1.0,36.170125,40.079625,3.9095000000000018,4.25,5.375,1.125,4.125,4.125,0.0,16572.625
django/django,EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12351,346,17,5,0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,2102.0,8316.0,1.0,1.0,0.0,2102.0,0.0,0.0,1.0,6.5,1.125,1.0,1.0,1.0,1.0,51.60875,78.743625,27.13487499999999,6.0,8.875,2.875,6.0,7.875,1.875,31082.125
django/django,NO_EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12754,360,18,5,0,1.0,1.0,0.6666666666666666,1.0,1.0,0.5833333333333333,0.0,0.0,-0.0833333333333333,2129.0,8384.0,1.0,1.0,0.0,2129.0,0.0,0.0,1.0,4.875,1.0,1.0,1.0,1.0,1.0,50.188375,61.174375,10.985999999999995,5.875,6.75,0.875,5.875,5.375,-0.5,7139.625
sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,848,33,1,1,2,0.5,0.5,0.2583333333333333,0.625,0.625,0.3416666666666667,0.125,0.125,0.0833333333333333,226.0,848.0,1.0,1.0,0.0,226.0,0.0,0.0,1.0,9.5,4.5,0.875,0.375,0.875,0.975,140.95575,162.554625,21.598874999999992,18.125,16.125,-2.0,18.0,14.625,-3.375,25677.625
huggingface/transformers,NO_EXPLICIT_LOCATOR_CLUE,large_reference_catalog,.md,4,39577,325,4,268,0,0.625,0.3913662191964322,0.3,0.25,0.25,0.1666666666666666,-0.375,-0.1413662191964322,-0.1333333333333333,5131.5,24211.5,0.875,0.875,0.0,5131.5,0.0,0.0,0.875,7.375,4.0,0.875,0.375,0.875,1.0,51.842,66.580625,14.738625,5.5,8.75,3.25,5.5,7.875,2.375,77499.125
django/django,EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12351,346,17,5,0,1.0,1.0,0.75,1.0,1.0,0.6666666666666666,0.0,0.0,-0.0833333333333333,1836.375,7265.5,0.875,0.875,0.0,1836.375,0.0,0.0,0.875,4.375,1.125,1.0,1.0,0.875,1.0,37.37375,35.72525,-1.6484999999999983,4.5,5.125,0.625,4.5,4.125,-0.375,13016.875
ansible/ansible,NO_EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,4,3904,105,2,0,10,1.0,1.0,0.4875,1.0,1.0,0.5416666666666666,0.0,0.0,0.0541666666666666,896.375,3957.0,1.125,1.125,0.125,882.0,14.375,0.0,0.9855817452357072,4.75,1.125,1.0,1.0,1.0,1.0,45.45675,59.01875,13.562000000000005,6.375,9.125,2.75,5.625,6.875,1.25,44093.375
matplotlib/matplotlib,EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,2,2689,111,9,5,0,1.0,1.0,0.7916666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,-0.125,619.0,2689.0,1.0,1.0,0.0,619.0,0.0,0.0,1.0,3.875,1.0,1.0,0.875,1.0,1.0,33.77625,43.589375,9.813125,4.25,6.5,2.25,4.25,5.5,1.25,27728.5
sympy/sympy,EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,1518,60,5,5,2,1.0,1.0,0.6666666666666666,1.0,1.0,0.6458333333333333,0.0,0.0,-0.0208333333333333,317.0,1518.0,1.0,1.0,0.0,317.0,0.0,0.0,1.0,4.5,1.125,1.0,1.0,1.0,1.0,53.18525,68.630875,15.445625,7.5,9.625,2.125,7.5,8.625,1.125,-2689.0
sphinx-doc/sphinx,EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,2,487,39,2,6,1,0.875,0.875,0.6041666666666666,1.0,1.0,0.6041666666666666,0.125,0.125,0.0,139.0,487.0,1.0,1.0,0.0,139.0,0.0,0.0,1.0,5.5,1.375,1.0,1.0,0.875,1.0,46.87375,60.252125,13.378374999999998,7.0,7.5,0.5,6.625,6.375,-0.25,38550.375
huggingface/transformers,EXPLICIT_LOCATOR_CLUE,large_reference_catalog,.mdx,4,49197,281,5,229,0,0.6666666666666666,0.75,0.6726190476190476,0.7083333333333333,0.794690557365044,0.6904761904761905,0.0416666666666666,0.044690557365044,0.0178571428571429,12236.0,44303.0,1.0,1.0,0.0,12236.0,0.0,0.0,1.0,6.375,1.0,1.0,1.0,1.0,1.0,41.205125,57.59725,16.392125,4.0,6.625,2.625,4.0,5.5,1.5,111286.0
sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,820,31,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,820.0,1.0,1.0,0.0,223.0,0.0,0.0,1.0,4.5,1.0,1.0,1.0,0.75,1.0,52.84725,51.816875,-1.0303749999999994,5.25,6.5,1.25,5.25,5.5,0.25,10639.625
ansible/ansible,NO_EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,4,4801,110,2,0,8,0.2125,0.6187110351065103,0.5333333333333333,0.225,0.6990204777414663,0.5333333333333333,0.0124999999999999,0.0803094426349559,0.0,931.875,4200.875,0.875,0.875,0.0,931.875,0.0,0.0,0.875,9.125,1.375,1.0,1.0,0.875,1.0,62.505875,68.9235,6.417625000000001,5.25,6.75,1.5,5.125,5.75,0.625,12690.875
django/django,NO_EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12351,346,17,5,0,0.375,0.393251896834888,0.3208333333333333,0.4375,0.4598603945740938,0.3833333333333333,0.0625,0.0666084977392057,0.0625,2125.0,8404.0,1.0,1.0,0.0,2125.0,0.0,0.0,1.0,7.0,2.0,1.0,0.875,1.0,1.0,93.075625,117.804375,24.72874999999999,7.5,11.25,3.75,7.375,10.125,2.75,55852.125
matplotlib/matplotlib,EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,2,2467,104,9,4,0,1.0,1.0,0.7083333333333333,1.0,1.0,0.6666666666666666,0.0,0.0,-0.0416666666666666,561.0,2467.0,1.0,1.0,0.0,561.0,0.0,0.0,1.0,3.25,1.125,1.0,1.0,1.0,1.0,45.936375,50.15675,4.220375000000004,5.25,6.75,1.5,5.25,5.625,0.375,7906.25
matplotlib/matplotlib,EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,2,2501,108,9,4,0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,576.0,2501.0,1.0,1.0,0.0,576.0,0.0,0.0,1.0,3.125,1.25,1.0,0.875,1.0,1.0,38.239375,41.6145,3.375124999999997,4.75,5.75,1.0,4.75,4.625,-0.125,9757.0
django/django,NO_EXPLICIT_LOCATOR_CLUE,detailed_topical_map,.txt,2,12459,349,17,5,0,1.0,1.0,0.6666666666666666,1.0,1.0,0.625,0.0,0.0,-0.0416666666666666,2130.0,8392.0,1.0,1.0,0.0,2130.0,0.0,0.0,1.0,2.625,1.0,1.0,1.0,0.75,1.0,35.347875,35.113375,-0.2345000000000041,4.375,4.625,0.25,4.375,3.625,-0.75,1634.125
sympy/sympy,NO_EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,820,31,1,1,2,0.375,0.3288662191964322,0.1416666666666666,0.25,0.25,0.0916666666666666,-0.125,-0.0788662191964322,-0.0499999999999999,223.0,820.0,1.0,1.0,0.0,223.0,0.0,0.0,1.0,5.0,2.375,0.625,0.375,0.375,1.0,44.376875,50.82125,6.444375000000001,4.75,6.625,1.875,4.75,5.625,0.875,18904.125
huggingface/transformers,EXPLICIT_LOCATOR_CLUE,large_reference_catalog,.md,4,89155,494,5,454,0,1.0,1.0,0.6041666666666666,1.0,1.0,0.6041666666666666,0.0,0.0,0.0,17251.0,59200.0,1.0,1.0,0.0,17251.0,0.0,0.0,1.0,6.375,1.125,1.0,1.0,1.0,1.0,63.9035,74.79025,10.88675,7.0,8.125,1.125,6.875,6.75,-0.125,98134.5
sphinx-doc/sphinx,NO_EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,2,476,38,2,6,1,1.0,1.0,0.5625,1.0,1.0,0.5833333333333333,0.0,0.0,0.0208333333333332,135.0,476.0,1.0,1.0,0.0,135.0,0.0,0.0,1.0,7.5,1.0,1.0,1.0,1.0,1.0,122.798375,134.374375,11.576000000000022,13.5,12.875,-0.625,13.0,11.125,-1.875,-42687.625
sympy/sympy,EXPLICIT_LOCATOR_CLUE,short_toctree_index,.rst,3,815,32,1,1,2,0.1666666666666666,0.4692787260227564,0.25,0.1875,0.4986086463991787,0.2869318181818182,0.0208333333333333,0.0293299203764222,0.0369318181818181,219.0,815.0,1.0,1.0,0.0,219.0,0.0,0.0,1.0,6.5,1.0,1.0,1.0,1.0,1.0,51.683125,71.11,19.426874999999995,6.375,8.875,2.5,6.375,7.75,1.375,36255.5
ansible/ansible,EXPLICIT_LOCATOR_CLUE,curated_navigation_hub,.rst,4,4801,110,2,0,8,0.5,0.6131471927654584,0.5083333333333333,0.5,0.6131471927654584,0.5083333333333333,0.0,0.0,0.0,931.875,4200.875,0.875,0.875,0.0,931.875,0.0,0.0,0.875,3.5,1.0,0.875,0.75,0.75,0.875,63.94125,54.529374999999995,-9.411875000000002,7.375,9.375,2.0,7.125,7.5,0.375,10330.75
